tag_node,vehicle_type,fuel_type,garage_state,region,ownership,fsr_node,exp_node,lob_node
TAG-1421,Ld Pickup 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-249,LOB-5
TAG-3663,Ld Pickup 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-594,LOB-5
TAG-3548,Ld Pickup 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-301,LOB-5
TAG-1095,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-251,LOB-5
TAG-2897,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-31,LOB-5
TAG-3144,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-31,LOB-5
TAG-4452,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-133,LOB-2
TAG-4447,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-31,LOB-5
TAG-1571,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-211,LOB-5
TAG-3090,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-399,LOB-5
TAG-4432,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-425,LOB-5
TAG-265,Ld Pickup 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-103,LOB-5
TAG-1879,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-249,LOB-5
TAG-3786,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-249,LOB-5
TAG-4124,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-499,LOB-7
TAG-107,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-301,LOB-5
